monthly_income,payment_history_rate,savings_level,active_credits,debt_ratio,payment_capacity,employment_months,conventional_score,product_count,has_mora,age,intelligent_score,profile,recommended_products
9693.32,98.52,16314.96,1,21.95,78.05,24,82,2,0,19,82,ADVANCED,Cuenta sueldo premium; Credito hipotecario
3462.66,77.62,8856.73,0,16.64,83.36,271,86,3,0,46,84,ADVANCED,Credito hipotecario; Credito vehicular; Productos premium
6672.84,100.0,1613.68,0,25.72,74.28,137,82,3,0,37,79,ADVANCED,Productos premium; Fondos mutuos; Cuenta sueldo premium
6622.67,80.51,32980.84,0,22.72,77.28,74,87,3,0,29,84,ADVANCED,Productos premium; Cuenta sueldo premium; Linea paralela
11329.8,69.09,7159.21,1,38.48,61.52,106,79,4,0,25,70,ADVANCED,Credito hipotecario; Productos premium; Linea paralela; Fondos mutuos
11339.5,85.7,42304.69,0,63.44,36.56,244,85,3,0,42,77,ADVANCED,Cuenta sueldo premium; Credito vehicular; Fondos mutuos
10957.78,85.31,32805.79,0,38.25,61.75,96,87,3,0,27,82,ADVANCED,Cuenta sueldo premium; Credito vehicular; Productos premium
10806.07,63.32,0.0,0,44.73,55.27,9,46,2,1,18,32,BASIC,Programa de educacion financiera; Cuenta de ahorro
5212.21,81.75,3784.23,3,22.31,77.69,126,81,4,0,35,77,ADVANCED,Linea paralela; Fondos mutuos; Credito vehicular; Productos premium
3708.41,90.18,0.0,1,33.96,66.04,340,76,2,0,46,72,ADVANCED,Credito hipotecario; Cuenta sueldo premium
5665.26,45.45,11623.77,5,80.8,19.2,27,31,2,1,23,7,BASIC,Debito automatico; Ahorro programado
5708.42,68.67,19346.08,5,31.6,68.4,100,54,2,1,28,46,BASIC,Microcredito controlado; Ahorro programado
4500.63,85.69,0.0,0,51.62,48.38,171,73,4,0,35,66,INTERMEDIATE,Seguro de proteccion de pagos; Tarjeta de credito inicial; Prestamo personal; Credito de consumo
